airline_sentiment;airline;text
positive;Virgin America;"@VirginAmerica thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!"
positive;Virgin America;@VirginAmerica Giants and Virgin America. A match made in heaven.
negative;US Airways;@USAirways I ask for reimbursement maybe miles added to my account for my inconvenience and for the money that I had to spend
neutral;Delta;@JetBlue Thanks for the FB. message telling me I will have to wait between 1-3 days.  I'm waiting.
negative;US Airways;"@USAirways I spent more on the room &amp; transportation then I did the whole flight"
positive;United;@united sweet, follow back and I'll get the dm off
negative;United;@united my friend lost luggage on flight 1547. What to do?
positive;Southwest;@SouthwestAir @love_dragonss lol I'm sorry I'm just seeing this now but LAUREN OH MY GOD AHHHH
negative;Delta;"@JetBlue insensitive? #FoodAllergies are life-threatening. Unsolicited UNEDUCATED opinions are inappropriate, reckless &amp; dangerous to (1/3)"
negative;Delta;@JetBlue our #FoodAllergy community. IF you want our continued loyalty, you need to do better than that. Perhaps some training is in (2/3)
neutral;Delta;@JetBlue order @FARE (3/3)
negative;United;@united Thanks, but not so much the missing bag as the nonexistent staff at this apparent remote outpost (busy airport for city of ~1M).
negative;United;@united I usually like flying with you guys but $200 fee to use my credit seems ridiculous #notcool #exhorbitantfees
neutral;Southwest;@SouthwestAir did you pick the winners for the #DestinationDragons ?? #87yearsLate Flightr #maybeijustlost #whyyounoloveme
neutral;United;@united when southwest did this to us -- a mechanical problem at least they gave us round trip vouchers. Will you step up to the pLate Flight too?
negative;US Airways;@USAirways is there gonna be a better day to call? I've called on 3 separate occasions the past couple of weeks and never get to a person.
negative;US Airways;@USAirways I been sitting on this plane for 40 minutes, and they are saying another 15 minutes something about paper work. This sucks !!
neutral;Virgin America;@VirginAmerica Only thing I see on passbook is Virgin Mobile Mexico. How do I integrate?
negative;US Airways;"@USAirways Can't get ahold of anyone to speak to about missing miles. It's been over a month since travel &amp; I've submitted twice online"
negative;Delta;@JetBlue FYI - your android app is set to not be applicable with the Nexus 6 - please fix (its a phone, not a tablet). Cheers!
negative;US Airways;@USAirways you can't even track my bag to see where it is. It's like it's disappeared.
negative;United;"@united offered me a voucher to switch flights. Now voucher offer doesn’t exist &amp; the gate agent switched me to a delayed flight!"
negative;US Airways;@USAirways No access to Dividend Miles and for a week the automated phone keeps telling me to call back Late Flightr. #FRUSTRATED #LivePersonPlease
neutral;Virgin America;@VirginAmerica no A's channel this year?
neutral;Southwest;@southwestair #ftw! ✈️ Hope they'll sing us a song on our flight to Phoenix today. (@ Terminal 2 (Humphrey)) https://t.co/mAvIgetbBw
positive;Southwest;@SouthwestAir amazing service by your SW stewardesses! From den to Cun and from CUN to Atl and atl to lax. Thank u!
negative;United;@united What's up with the reduction in E+ on 737-900s? 1K who can no longer confirm E+.  Forget upgrades - just want legroom. #unitedfail
negative;United;@united now you've lost my bags too.  At least nobody has done anything to help out.  This is absurd.
negative;United;@united I did not, my mind was on getting to the next flight.
negative;United;"@united my cats flight was delayed 1+hour  she will be arriving to Hawaii after 5 &amp; I won't be able to pick her up until tomorrow 😭"
negative;Southwest;@SouthwestAir I'm miserable on your Orlando to Vegas nonstop right now. How big must a guest be for u to require 2 seats?  I'm in 1A btw.
negative;Delta;@JetBlue what's going on with 1171 LGA-FLL..poor to no communication from gate agents??
neutral;Delta;@JetBlue I thought the same thing after I sent it
negative;Delta;@JetBlue lots of people scratching heads and looking at screens ignoring passengers
positive;Virgin America;@VirginAmerica got it. All set - Thanks!
negative;Southwest;@SouthwestAir I'm smashed into a window by the giant guest sitting next to me. #4386. No way this guy should have been given 1 seat.
neutral;Delta;@JetBlue Statement on #Lufthansa Incentive Offer - Stockhouse http://t.co/obF9jbPc6A
negative;United;"@united, Thanks, but I didn't want to see 'we've started your flight search over' OR 'the fare &amp; rules for this itinerary has changed' again"
negative;Southwest;@SouthwestAir if you guys fuck this up again  I will never forgive you
neutral;Southwest;"@southwestair is your companion pass broken today? 
purchase.error.INVALID_LOYALTY_MEMBER_ACCOUNT_STATUS (SW900001-vyiL1XKlROG24fS-918j_A)"
neutral;Southwest;@SouthwestAir Denver to Phoenix, I think we're finally getting ready to take off.
negative;United;@united, I booked our flights w/ @WestJet. I saw the same prices each time I searched. It wasn't the least bit frustrating. #customerservice
positive;United;@united Thank you Margo at Houston's Bush Intercontinental for getting me home earlier.
negative;United;@united still can't dm, it's LH7631 on 21/2/15
negative;United;@united Another delayed United flight. I should not be this surprised or upset. I'm mostly disappointed I have to Cancelled Flight my trip with my dad
negative;United;@united airlines claims to have a low fare guarantee, but they won't honor a lower fare that I found.
negative;Virgin America;@VirginAmerica all crap channels which is why I pay to watch UK tv
positive;Southwest;@SouthwestAir thanks for the follow up. So glad to get my bag back.
negative;US Airways;@USAirways What's the point of a baggage claim ticket if they don't scan it  for tracking?
positive;Southwest;@SouthwestAir love..luv the addition of the passbook option.
negative;United;@united As a Million Miler I've been delayed plenty. NEVER in the amateurish way@SilverAirwsys does it. I'd be embarrassed to be affiliated.
neutral;Southwest;@SouthwestAir I'm not sure I did the messaging part right. Please let me know if you received it.
positive;United;@united Thanks - it's very helpful to understand that the reduced price seats that are sold at check-in have priority over the certificates.
neutral;Southwest;"@SouthwestAir I would but you need to follow me first ;-)"
positive;Delta;@JetBlue i deleted that tweet because one of your wonderful employees swooped in to help--faith restored. You are one of the good ones. 👍
neutral;Virgin America;@VirginAmerica You should still develop an app - then you will be my favorite airline.
negative;US Airways;@USAirways had 2 Cancelled Flight my trip to LA bc weather @SouthwestAir was easy but US air is making me pay $200 to use the credit. Never again
negative;US Airways;@USAirways strikes again...lost bags. And two of them. #theworst
negative;US Airways;@USAirways stop Cancelled Flighting flights over and over and not provide any real help to your customers. #strandedinnashville
negative;Southwest;@SouthwestAir TSA Pre isn't showing up on my boarding passes and I've followed all of the steps. Please help.
neutral;Delta;@JetBlue I'd like to spread my grandpa's ashes in Naples, Italy he lived in the 50's while serving his 30+ yrs in the @USNavy #FlyItForward
positive;Delta;@JetBlue incidentally, Sheila at JFK deserves a raise because she's awesome.
neutral;Delta;@JetBlue @pilyoc dont talk about my friend @JetBlue like that. #thefutureisweird
positive;US Airways;@USAirways surprisingly quick response time by you and them. Thanks!
positive;United;@united thank you!
negative;United;"@united Flight was overbooked! Was offered voucher to wait &amp; take another flight. Gate agent switched me over, retracted voucher offer."
negative;US Airways;@USAirways @DRVRugby  team is back home but luggage all wet and partly damaged - Not happy! #blizzard
neutral;Southwest;@SouthwestAir how come on mobile I can't proceed w/o entering a postcode at purchase. I'm from Ireland and I don't have a postcode just.
negative;US Airways;@USAirways how does that help me when I get no response from there??? #usairwayssucks
neutral;Delta;@JetBlue yes, but it hurt my feelings to walk by MINT. A fella can dream. #happy4them
neutral;Southwest;@SouthwestAir oops, Sorry, Done,
neutral;Delta;@JetBlue this feels nice - what we've got going on here. Let's just swap me out with the fool in 5a and we can make it all better.
negative;United;@united Can someone assist me with my DM's? Waiting 1 hour on phone, 2 hours on Twitter.
negative;US Airways;@USAirways I realize the weather but day after day our flights keep getting Cancelled Flighted. Please prioritize ur passengers and help them
negative;Delta;@JetBlue I cheated on you, and I'm sorry. I'll never do it again. @SouthwestAir has given my wife and I the worst start to a honeymoon ever
positive;Southwest;Bingo! “@SouthwestAir: Thank you for bringing this to our attention. We'll be happy to reach out to Noah so we can make this right. ^MR”
negative;United;@united I will be stunned if my bags are in Hartford with me.  The ORD ground crew only had an hour to move my bags 200 yards
positive;Southwest;@SouthwestAir thank you for handling this for me. Glad Southwest cares about what it's flyers think!
negative;United;@united yes of course I have.  Is this how you treat customer with no recourse?
neutral;US Airways;@USAirways I have a flight in Saturday from MCI to CLT and there's heavy snow predicted in MCI. When will u allow for changes?
positive;Delta;"@JetBlue okay. The new screens are laptop-large &amp; real nice &amp; the wifi is appreciated. Thanks god for this tiny lil man in the middle seat."
positive;US Airways;@USAirways thanks to Betty working gate at ILM and lovely gate agents here in CLT helping me get home 2 Phx tonight instead of tomorrow
negative;US Airways;@USAirways You have Cancelled Flighted our flights 5 times over the past 3 days...and the experience has been the worst...never again...
neutral;United;@united it's operated by united as it's a heathrow-Newark flight
negative;Delta;@JetBlue I'm trying to add my 2012 flights to my Badges account but i don't see an option. Help plz?
positive;Delta;@JetBlue I'm all set. About to fly. Not bad for a first date with a giant metal bird machine. She even brought snacks.
negative;United;@united I had to change airports to actually get a flight out when my flight from FAY was Cancelled Flightled twice. $180 taxi ride to RDU--reimburse?
negative;United;@united How come you are the ONLY airline, of 90+ flights last year that makes me check my carry-on. Not even gate check...baggage claim?!?
negative;Delta;@JetBlue should've been on one of your flights instead... @SouthwestAir has now lost our bags to add insult to injury
neutral;Delta;@JetBlue is it true there's a new A320 livery and a new website...?!
negative;Virgin America;@VirginAmerica your website sucks donkey dicks. Just thought you should know. All best.
negative;Southwest;@SouthwestAir How do I stop getting credit card apps? I already have a card!
negative;United;"@united UA6002 MLI-&gt;DEN. Will miss connection UA3530 DEN-&gt;YEG due to delay."
positive;US Airways;@USAirways thanks.
positive;Delta;@JetBlue BEST SEAT ON A E190 to board early. READY. SET. GO!
negative;US Airways;@USAirways I've been waiting for desk for 45 and on hold 36min and counting...photo of desk agent on phone not flattering.
negative;United;@united sure but the plane is an hour Late Flight! Your ontime departure ship sailed away a long time back!
negative;United;@united feeling poor on the church-mouse level here, 180 dollars is enough to make a grown man cry. I'm not a grown man but tears happened
positive;United;@united can I just go ahead and live in your premium cabins? I'm in heaven now en route to LHR
neutral;Delta;@JetBlue I can't pay 30 bucks xD
negative;United;"@united and btw, the @Virgin and @JetBlue managed on time departures same time same destination- &amp; wouldn't take away a 9year old kids bag!"
positive;Delta;@JetBlue Aw okay thanks
negative;United;@united flying lax to Sfo and system won't let me check in. Your site tells me to do it through @AirCanada and they tell me through you.
negative;US Airways;@USAirways @FAANews how can I be stuck on a plane due to snow in Boston when it's not actually snowing in Boston?  Usair flight 2218 #US2218
negative;Southwest;@SouthwestAir A-list preferred line phone wait was 15 minutes. I hung up, not feeling A-list-ey!
negative;United;"@united there was 20 min to departure, no one waiting. On being pressed ground staffer threatened ""do you want to get to SF today"" #fail"
neutral;Delta;@JetBlue my mom wanted me to change her seat along with my sister, but their two different reservations and idk
negative;Delta;@JetBlue can't change it. True blue points and I can't get to a phone
negative;Southwest;"@SouthwestAir pls help me get this resolved &amp; reimbursement made.  gracias, rico; pls send me private msg with phone number or email address"
positive;US Airways;@USAirways thanks for giving away my seat. Another fine job! http://t.co/r7ibqr4CYd
positive;United;@united Fantastic job by your people today on ua22 from Dublin. A jam packed plane but the crew was wonderful!!
neutral;Delta;@JetBlue do you have mint service from NYC to San Diego?
positive;US Airways;"@USAirways your pple did a great job w the madness however some of your systems need help. I appreciate the hard work &amp; the push to b better"
neutral;Southwest;@SouthwestAir yall still fly in the cold right?
neutral;Delta;@JetBlue any chance you will by this summer?
negative;United;@united Missing crew, passenger doc problems, frozen toilets, and now we're off the plane. Give me my money back.  UA3466
negative;US Airways;@USAirways you see now that is a lie.  They auto respond with insulting email. #sucks
neutral;Delta;@JetBlue Airways Corporation Registers High Short Interest - Wall Street Pulse http://t.co/hXSnv7fbbh
negative;US Airways;@USAirways I tried to call your customer service line only to be kept in a que for over 45 mins...... please hold =we don't care
negative;US Airways;"@USAirways us2118
My wife in Boston says no snow right now."
positive;Southwest;@SouthwestAir is there a way to know who checked my bag on the curb? She was awesome!!! And want to be sure she gets a high five!
negative;United;@united you should tell that to the staff at LAX then. I boarded group 5 at the very end of the queue as a Gold member. Thanks for nothing.
neutral;Delta;@JetBlue Any EMS window seats on 1099 tomorrow?
negative;US Airways;@USAirways started trying to reach a real person over an hour ago still no luck
positive;US Airways;@USAirways @AmericanAir First Class all the way!!💺✈️ Headed to @portlandjetport http://t.co/kDMq0jps02
negative;US Airways;@USAirways no they dont.  I think I already said that.  No one responds.  Its an auto response.  Wait is this an auto response??????
neutral;US Airways;@USAirways Looking forward to some friends and family time in Arizona.
positive;Southwest;@SouthwestAir - I just had a great experience with your customer service team. Thank you! #LuvSW A-list
negative;United;"@united Is your company motto: ""I do not care!!!""  I heard several times from your employees to your clients in the past week.""  #idonotcare"
negative;United;@united this may be the last time I fly your airline.
neutral;Delta;@JetBlue is the trueblue site broken at the moment?
negative;US Airways;@USAirways my flight was Cancelled Flightled yesterday and moved to today, then while at my stop in DC my flight is delayed due to lack of crew US4485
negative;US Airways;@USAirways this made me have to Cancelled Flight my car reservation and it came out to more money...why did you reschedule a time without the crew?
positive;Southwest;@SouthwestAir @ PIT- Gate A1! Big shout out to the lady trying to track him down!
negative;United;"@united Midland couldn't get our bags to connect on our Intl flight to Sydney, so have to get em in LA &amp; check em in there."
negative;United;@united just informed you don't reimburse for issues due to weather. this is why your flights keep getting Cancelled Flightled--Thor hates you
negative;Delta;@JetBlue keeps asking me to enter a valid email address. My info is saved and has worked hundreds of times before
negative;Virgin America;@VirginAmerica Status match - 2 weeks have gone by and no news.Flt next week - hope flt will count towards requirement.  Cust Svc no help!!!
positive;United;@united Just did, thanks for checking! :)
positive;United;@united thank you! Love united!! Have 4 flights today!
negative;United;@united thanks for not letting me switch flights Bc I had a checked bag then Cancelled Flighting my flight forcing me to take another 3 hrs Late Flightr!
negative;United;@united yes, supposed to be here by 6PM. I have a Board Meeting tomorrow. Fingers crossed.
negative;United;"@united all i hear is blah blah blah ....you shoulda used that $400 to buy a @burningman ticket instead. &amp; ill be driving there not flying"
negative;Southwest;"@SouthwestAir Open more kiosks at 
Austin-Bergstrom. Three lanes to service a line of 50 people? Really?"
positive;US Airways;@USAirways ok thank you we were told ground delay due to snow.
negative;US Airways;@USAirways I paid for my ticket on @PayPal on the 13th and it still says pending. Is that normal? I just want the money out of my account.
negative;United;I will, if you can show me where this new program is beneficial to your longstanding loyal consumers... @united
negative;US Airways;"@USAirways to CLT from JFK nasty planes, dirty seats &amp; floors, rude flight attendants- hopefully AA can get you cleaned up #disgusting #vile"
neutral;Delta;@JetBlue can you DM?
negative;US Airways;"@USAirways ""admirals club"" at CLT has rude, and ignorant front desk staff...@AmericanAir you have fallen so far...THANKS DOUG PARKER!!!"
negative;United;@united - my son left his tablet on plane.  Am out of country and can not call easily.  Is there an email to contact?
negative;Delta;@JetBlue only w/ $70 upgrade. Unsure why she can't just switch someone around. I called 24 hrs in advance for this reason.
negative;Southwest;@SouthwestAir was wondering is there a reason why customer service is so busy? Been on hold past few days for many hours No answer Help plz
positive;United;"@united well it IS John Hughes' birthday. But I will stick w the plane &amp; hold off on trains &amp; automobiles. Gate workers are doing well."
negative;Delta;@JetBlue Only wish your ground operation was as expedient as your Twitter response team! Delay just got extended!
positive;United;@united well, thanks for not charging me for switching my two Cancelled Flightled flights anyway. That was pretty nice. #stillmakingmepoorthough
neutral;Delta;@JetBlue Says #Lufthansa Incentive Offer To Have No Impact On Share Count - Nasdaq http://t.co/VU7XSWJKiY
neutral;Southwest;@SouthwestAir is there a way to DM you?
negative;Southwest;"@SouthwestAir are bicycles that the 62"", 50lbs criteria free or bikes are automatically $75/each way? The FAQ page isn't very clear to me."
neutral;US Airways;"@USAirways Thanks. Suggestion: stop the promo messages after a bit and just run music &amp; a msg that says ""call volume is high."" #vrm"
positive;Southwest;@SouthwestAir luckily, the people working the BSO at Chicago Midway have been very attentive and found our bags in Punta Cana.
negative;Southwest;@SouthwestAir we have to stay in Chicago overnight and meet up with our bags there. I hope they stay put and don't get put on a flight.
negative;US Airways;@USAirways #USAirways So my flight was Late Flight getting into charlotte so i miss my connector to Phoenix thanks again last time I EVER FLY USAIR
negative;United;@united #vegan meals can be more creative than noodles, peas, and zukes. Non-vegan yogurt is not acceptable for a vegan. Can you do better?
negative;United;@united nope. Really. No window at all for 10A. 10F has one. 8 and 11 has one. None for 10A. So sad...
negative;Southwest;@SouthwestAir we've now lost a whole day of our honeymoon... Very disappointed and frustrated with everything.
negative;United;@united 4 different departure / arrival updates for UA304??? In 1hr. Please!
negative;US Airways;@USAirways your app sucks balls compared to @AmericanAir
negative;United;“@united: @qlyss8 We don't want our customers to be frustrated. Thank you for your patience. ^JT” A lovely sentiment, but not a $180 one.
positive;Southwest;@SouthwestAir awesome. thank you!
positive;Delta;@JetBlue Done! Also looks like you opened some up on my flight to Vegas on Sunday! 💙
negative;Southwest;@SouthwestAir So frustrated with my experience with #Southwest. 18 hours trapped in Denver bc of mechanical problems. #worstcustomerservice
negative;US Airways;@USAirways Thanks for showing interest...3880 to Greenville, SC.
positive;US Airways;@USAirways we haven't departed yet so let's not get too high hopes.  But everything has been on schedule so far
negative;Southwest;@SouthwestAir I am trying to book another flight and apply my credits that I had from another flight but I can't find them.
neutral;United;@united How many 787s do you currently operate and what other aircraft do you operate?
positive;Delta;@JetBlue just DMed. thanks so much for addressing this so quickly.
neutral;Delta;@JetBlue #FlyingItForward I'd fly to Port au Prince, Haiti to help with the on-going earthquake relief efforts. Still lots to do there!
negative;US Airways;@USAirways  thanks! Now I just need to locate where my luggage is!
neutral;Delta;@JetBlue I like Marie Harf go to Iraiq find ISIS and spread good, and offer resume service to ISIS in order to find jobs @marieharf
positive;Delta;"@JetBlue I would go to Las Vegas. It is gorgeous and I go there every year and I fly with you guys Vegas is gorgeous &amp; so much to do there.🌴"
negative;US Airways;@USAirways that's understandable, my issue is with creating a new flight without the personnel to do it...I changed my plans to accommodate
positive;Delta;@JetBlue What a great idea! #cometoAustin
negative;US Airways;@USAirways after 3 Cancelled Flightlations and a delay, causing me to miss connecting flight. Another night not being home. Thanks #pathetic
neutral;Southwest;@SouthwestAir will do! #heart #flying
negative;Southwest;@SouthwestAir alas, it was pretty full so we had to entertain ourselves with witty repartee ...
negative;US Airways;@USAirways ...these changes as well to Late Flightr find out that the flight I was scheduled for isn't ready
negative;Delta;@JetBlue PR-friendly tweets don't help drive accountability. Hope Mr. Hayes takes note.
negative;United;@united I wrote to you but got nothing.and I am out of US .It is very simple thing.Will ypu provide compensation for your delay?
positive;Delta;".@JetBlue thx for confirming! Again, yr team is awesome. Thanks for the prompt &amp; helpful response! Cheers to less snow in everyone's future"
positive;United;@united Will have to try standby in Denver tonight or will have to Cancelled Flight father son trip till next year. Thx for trying.
positive;Delta;"@JetBlue Hawaii! Get me somewhere warm &amp; I can find some good to do. #FlyItForward"
negative;Virgin America;@VirginAmerica FYI the info@virginamerica.com email address you say to contact in password reset emails doesn't exist. Emails bounce.
negative;US Airways;@USAirways well this is about as worthless as your regular service.  A bunch of do nothings and idiots. #sucks
negative;US Airways;@USAirways it is just bad practice and I am disappointed that your airline was not prepared...honestly the last time I fly with you guys
negative;Southwest;@SouthwestAir We need help changing a name on a company reservation....We tried calling customer relations but there is a busy signal.
negative;US Airways;@USAirways Joined Silver Preferred because I heard customer service was so great, pity I was misguided.
negative;US Airways;@usairways. Seriously, attendants go AWOL for 60 mins.   Now flight further delayed.   Don't lite a match either http://t.co/mT8sPlm02v
positive;US Airways;@USAirways Marsha M. at Myrtle Beach is the greatest! She deserves all the respect and praise there is! #ThankYouForEverything
negative;US Airways;@USAirways  I have 3 times and no one has been able to help me out
negative;Delta;@JetBlue is the worst. I have to postpone my trip and they can't accommodate guests like @SouthwestAir #NeverAgain
negative;United;@united   sent DM last week, re: suit regarding your error. No response was given. Please Answer DM or tell me who to send suit to....
neutral;Delta;@JetBlue I'd go to Portsmouth, NH to take care of my friend's son while she takes her daughter to Boston for surgery.  #flyingitforward
negative;Delta;"@JetBlue glad u happy I have my bag but as a traveler I entrusted u w/ my property &amp; u return it damaged &amp; that's the best answer u have?"
negative;Southwest;@SouthwestAir your WiFi is shit. fix that up before I jump out of the closest bloody fucking emergency exit.
negative;United;@united I was patient when they refused to switch my flight Bc of my checked bag then Cancelled Flightled the one I was on
negative;United;@united thanks I'll fill out the form that no one reads or responds to.
neutral;United;@united's in-flight promo on their TV's includes Brian Williams. Tough to edit that quickly. Not a complaint, just an observation.
neutral;Southwest;@SouthwestAir snapchat, iMessage, instagram......
positive;Delta;@JetBlue My #FlyingItForward affects just one small family of four, but it would make a huge difference in their life.
neutral;Delta;@JetBlue to allow payment by #Apple Pay - Patriarc http://t.co/bdUaUZFhW2
negative;United;@united I think you guys had a half full flight at 4 so you held our overbooked 3pm flight to fill the other one then Cancelled Flightled mine
negative;United;@united be patient while I let this string of tweets go out showing people you are bad at your business
negative;United;@united please help trace my luggage which was put through without a name tag on 11 February 2014 at Albuquerque airport
negative;Delta;@JetBlue U say our safety is our highest priority but that doesn't extend 2 our property? This is totally nuts. http://t.co/xZY7pHKFGR
negative;United;@united I will be patient as your agent explains how you have me booked on a new flight for 6:18 when that plane doesn't arrive until 6:07
negative;US Airways;@USAirways just lost a faithful customer.
negative;Southwest;"@SouthwestAir lost my sunglasses &amp; case on a flight 3933 last night - is there a lost &amp; found?"
negative;United;@united I will be patient in my luxurious middle seat on my next delayed flight
neutral;Southwest;@SouthwestAir I dunno my travel information.. like what?
positive;Delta;@JetBlue I flew to San Francisco from Fort Lauderdale with you last year, had a fantastic time so would like to go back !
negative;United;@united idea: if u don't want us to be frustrated don't Cancelled Flight flights because your crew overflowed a toilet. Get a plumber
negative;United;@united you have yourselves to blame for giving me the time to get drunk and tell you how I feel about your overpriced sub par airline
neutral;United;@united patiently drinking and tweeting about my experience
neutral;Delta;@JetBlue do you sell open tickets? I have a sick relative and may have to travel at a moments notice. Sad but true.
negative;Southwest;@SouthwestAir it took ages for one snapchat story to load. one. ONE. I will demolish you
negative;United;@united thanks! Makes sense. Just annoying that it can't be determined better.
positive;Southwest;@SouthwestAir @Imaginedragons @beatsmusic well timed tweet, just boarded and will be listening on my way home!
neutral;Southwest;@SouthwestAir k but who won destination dragons
negative;United;"@united #1007 Houston-Bogota with an engine problem, mechanics trying to ""fix"" the problem, safety first, better to change the plane"
positive;Southwest;@SouthwestAir that's why I fly y'all, that personalized service
negative;United;@united I find this text funny, considering we are still sitting here because 2 seats need to be changed out. http://t.co/LoLuWfCi11
positive;United;@united they are all -pilots, FA and ground personnel doing a great job. Weather is to blame... Who do I talk to about that :)
positive;Southwest;@SouthwestAir @Imaginedragons @beatsmusic I'd love to hear them live at @VelourLive @velourlive this saturday! #destinationdragons
negative;US Airways;@USAirways My last flight was Cancelled Flightled and I'm very disappointed.
negative;Southwest;@SouthwestAir @LeeAnnHealey I was all, yeah sale fares! I got places to fly! Oh damn, right, I live where SWA doesn't fly. #why
negative;United;@united took this one just for you. Not a window. Also not fun if you get motion sick. http://t.co/m81rV0blxs
negative;US Airways;"@USAirways @MarciaVeronicaa she missed her uncle's funeral, and you ""hope"" they can find another flight. That's very considerate of you."
negative;Delta;@JetBlue u now have my gears grinding. The JFK baggage office told me I need to bring the bag back right now if not they will close my claim
neutral;Southwest;@SouthwestAir just DMed you guys!!! 😁😁😁😁
positive;Southwest;@SouthwestAir So far so good! http://t.co/16c9ex79Rk
neutral;Southwest;"@SouthwestAir do you have any info about when #DestinationDragons winners will be announced? me &amp; my best friend are hoping to win. thanks!"
negative;Delta;"@JetBlue I am heading to JFK now just on principle alone to deal w my lost &amp; damaged bag. #jetblue #jetbluesucks #jfk #badservice #fail"
positive;Southwest;@SouthwestAir thx - fingers crossed they are found.
neutral;Southwest;@SouthwestAir Do you anticipate any Cancelled Flightlations for flights out of Nashville tomorrow? Thank you!
negative;United;"@united Tks for reply. PSP employees blamed Late Flight departure on POTUS when main reasons were DVR flt Late Flight &amp; insufficient ground crew to handle"
negative;United;@united 1 hour since boarding began and we're still sitting at the gate.  #UA507
negative;United;@united the supervisor on situation- Stacey took all our details-no claim number given to us
positive;Delta;@JetBlue Yes That's true but they are a bit pricey I will look into it further. Love you guys.
negative;Delta;@JetBlue if u want to be helpful save me the trip from Westchester Cty to JFK, plus parking - my info is in the photo http://t.co/JI7xkS2jkk
negative;United;@united can't DM, you're not following. LLY144. Rebooked on #UA1516 but still need seats.
negative;United;@united a report was filed with the airport police on 11th and 12th February-I have the police case number if required
negative;United;@united 3 phone reps. None could see I was rebooked so missed that flight.Told to go standby for a nonexistent Late Flightr flight. Did I hurt you?
negative;US Airways;@USAirways we did. It added about seven hours to our day... So far... Want to take odds on our bags being on the carousel in KC? #notcool
negative;United;@united correct date is 2/11/15!
negative;United;@united flying tomorrow from mexico to US. Mileage tkts dont show 1k status. Help
negative;US Airways;@USAirways. I'm delayed in Cha, will miss my connection in Charlotte for lga.  Not good
positive;United;@united hey awesome!  Thanks for the reply, will be filling the form out! @AmericanAir
negative;Delta;@JetBlue so why do you put this at the bottom of ur baggage report? For fun? #JetBlue @airlinequality #skytrax http://t.co/tU9JX2jaZN
neutral;United;"@united, Understandable. I did try Flight Booking Problems several times for 2 passengers &amp; got the messages I mentioned before. As for the agents price???"
positive;United;@united have reported it.  Still in Istanbul at the moment apparently.  On the other plane haha.  Hats off to the pilot!
neutral;Delta;@JetBlue need flight to ATH from PDX. Do you coordinate with other airlines?
negative;United;@united no tag number. Luggage was taken off the weigh scale and appears to have been sent off on conveyor belt without any tag...
positive;United;@united #1007 Houston-Bogota boarding again, safety first, it seems the mechanics fixed the problem faster, good energy to fly home/family
positive;Delta;@JetBlue ok. I'll book JB to JFK then book to ATH. Thank you.
neutral;Southwest;@SouthwestAir @Imaginedragons  Did they pick someone for Destination Dragons?
negative;United;@united thanks. Weather is understandable, but when every single domestic flight is delayed because of inbound int'l flights, it's crazy
neutral;Southwest;@SouthwestAir Working on a piece about military discounts and am hearing you offer one. Can you give me specifics and confirm? Thank You!
negative;US Airways;@USAirways the Late Flightr flight to Charleston is leaving before the flight scheduled earlier.  That's so wrong
positive;United;@united Honestly, I stopped trying to report things via website. Now I just laugh. Flights work. Miles accrue. I'm sure it's just cosmetic.
negative;US Airways;@USAirways once again your service leaves a lot to be desired. Flight 5141 here early, but short staffing means we wait on Tarmac...Thanks
negative;United;@united it's almost like we're punished for living near a large metro area. EWR was top ranked for domestic delays. Not good
positive;Southwest;@SouthwestAir Whoa. Thanks and that's what I wanted to hear! Early flight coming up. Thanks for the reply.
neutral;Delta;@JetBlue my daughter's college game in Denver.  Only one set of parents will be there 😢😢😢
negative;Southwest;@SouthwestAir where was the inclement weather? Other flights left DCA today and this plane appeared to be coming from AUS.
neutral;Delta;@JetBlue Left my coat on flight 453 this morning in overhead bin.  Reported seat 12A, but I was 11A.  Thx.  Ticket 2792125083854
negative;US Airways;"@USAirways PLEASE improve your phone system! Going through multiple prompts &amp; menus just to be told to call back Late Flightr = MAJOR FAIL"
neutral;United;@united sent
negative;United;@united I'm flying @AmericanAir on the way back. I rarely fly them but let's see if they are any better....
negative;Southwest;@SouthwestAir @Kaneshow @InternJohnRadio @mrerickv THIS IS EVERYTHING... now, return that jet so we can go to Miami!
neutral;United;@united Is it possible to redeem miles for one part of a round trip itinerary without having to book two separate reservations?
positive;Virgin America;@VirginAmerica great. Well deserved.
neutral;Delta;@JetBlue hi! Is it possible to upgrade to a Mint seat on an already booked ticket? Thanks!
negative;United;@united Not sure what happened @ MSP yesterday, but VERY UNHAPPY my bag was not only delayed, but sat at MSP for 8 hrs b4 delivery @ 2:30 am
neutral;Southwest;"YO! @InternJohnRadio @mrerickv  give @SouthwestAir their plane back.  They're mad &amp; threatening to take away my Companion Pass. #Luv"
neutral;United;@united PTY to PIT via IAH
negative;United;@united gotta love giving up 1st class upgrade b/c flight delayed, to get another flight (also delayed) just to ensure I make my connection.
neutral;Delta;@JetBlue I'd go to Australia to enjoy the land down under! Always been on my bucket list! #FlyingItForward
negative;Southwest;@SouthwestAir Please update your website
negative;United;"@united, I'm still frustrated I gave up my seat &amp; the promised Travel Certificate was withheld w/o explanation. http://t.co/KvfwajVViD"
neutral;Delta;@JetBlue I would go to Italy to visit my relatives and see the house my dad left when he passed.
positive;United;@united @parryaftab done thnx
